ano,empresas,setor
2006,213048,Comércio e reparação de veículos
2007,223866,Comércio e reparação de veículos
2008,238577,Comércio e reparação de veículos
2009,249793,Comércio e reparação de veículos
2010,265782,Comércio e reparação de veículos
2011,265507,Comércio e reparação de veículos
2012,266183,Comércio e reparação de veículos
2013,271907,Comércio e reparação de veículos
2014,257731,Comércio e reparação de veículos
2015,254885,Comércio e reparação de veículos
2016,247490,Comércio e reparação de veículos
2017,242452,Comércio e reparação de veículos
2018,232312,Comércio e reparação de veículos
2019,235202,Comércio e reparação de veículos
2020,243624,Comércio e reparação de veículos
2021,253745,Comércio e reparação de veículos
2006,264503,Alojamento e alimentação
2007,271044,Alojamento e alimentação
2008,283164,Alojamento e alimentação
2009,301420,Alojamento e alimentação
2010,319056,Alojamento e alimentação
2011,318303,Alojamento e alimentação
2012,316062,Alojamento e alimentação
2013,326821,Alojamento e alimentação
2014,315534,Alojamento e alimentação
2015,317122,Alojamento e alimentação
2016,311231,Alojamento e alimentação
2017,305371,Alojamento e alimentação
2018,292320,Alojamento e alimentação
2019,290608,Alojamento e alimentação
2020,285275,Alojamento e alimentação
2021,287928,Alojamento e alimentação
2006,38390,Reparação e manutenção
2007,42269,Reparação e manutenção
2008,46258,Reparação e manutenção
2009,50084,Reparação e manutenção
2010,54549,Reparação e manutenção
2011,54120,Reparação e manutenção
2012,52227,Reparação e manutenção
2013,52674,Reparação e manutenção
2014,48004,Reparação e manutenção
2015,46599,Reparação e manutenção
2016,43725,Reparação e manutenção
2017,41605,Reparação e manutenção
2018,38845,Reparação e manutenção
2019,37486,Reparação e manutenção
2020,38602,Reparação e manutenção
2021,39113,Reparação e manutenção
